customer_id,name,age,gender,city,marital_status,employment_type,occupation,monthly_income,monthly_expense,existing_emi,savings_balance,home_ownership,education_level,dependents,credit_score,account_age_months,job_tenure_years,previous_loans,monthly_transactions,acquisition_channel,device_type,digital_activity_score,loan_id,loan_purpose,requested_amount,approved_amount,loan_tenure_months,interest_rate,emi,emi_to_income_ratio,application_date,risk_score,underwriting_score,default_probability,risk_category,approved,rejection_reason,loan_to_income_ratio,loan_status,defaulted,total_payments,missed_payments,partial_payments,delinquent_months,avg_days_late,max_days_late,total_emi_due,total_emi_paid,payment_completion_rate,delinquency_rate,avg_inflow,avg_outflow,avg_net_cash_flow,avg_cash_flow_consistency,avg_balance_volatility,total_spending_shocks,total_overdrafts
C00011,Chatura Bhandari,31,Female,Surat,Married,Salaried,Bank Officer,133243,80382,27367,2572847,Owned,Bachelor,4,726,45,7,3,47,Facebook,Android,26,LN382082,Home Renovation,3085793,3024895,60,8.48,62031.2,0.47,2026-03-18,42,58,0.272,Medium,1,,1.89,Defaulted,1,16,2,3,4,11.375,85,1693294.4,1370142.48,0.809,0.25,132527.0,78359.66666666667,54167.333333333336,80.75,0.3358333333333334,0,0
C00012,Chandani Sule,37,Female,Nagpur,Married,Salaried,Teacher,62468,43032,2160,1115909,Family Owned,Master,3,714,99,13,7,140,Facebook,Web,43,LN857090,Medical,231239,206017,24,18.0,10285.21,0.16,2025-04-30,13,87,0.098,Low,1,,0.27,Active,0,13,1,1,1,7.0,41,776713.6,699534.0499999999,0.901,0.077,62832.166666666664,41937.833333333336,20894.333333333332,91.16666666666667,0.37083333333333335,0,0
C00013,Bhavika Yadav,35,Male,Ranchi,Married,Self-employed,Shop Owner,96137,75502,37162,609520,Owned,Bachelor,2,660,91,7,3,103,YouTube,iPhone,60,LN339153,Home Renovation,2216356,2093498,60,10.76,45267.55,0.47,2025-07-05,60,40,0.38,High,0,Insufficient Repayment Capacity,1.81,Rejected,0,13,1,3,2,10.076923076923077,89,91382.07,76821.18000000001,0.841,0.154,102089.91666666667,83484.33333333333,18605.583333333332,62.833333333333336,0.37083333333333335,1,1
C00014,Jagrati Bora,22,Male,Chapra,Single,Student,Student,13325,11771,844,77938,Rented,High School,0,591,36,0,2,91,YouTube,iPhone,58,LN730107,Personal,186380,166053,36,20.93,6250.09,0.47,2026-03-20,80,20,0.5,High,1,,1.04,Active,0,12,1,5,2,8.416666666666666,35,100711.44,78279.49,0.777,0.167,10923.166666666666,12807.333333333334,-1884.1666666666667,76.25,0.7316666666666666,1,8
C00015,Noah Swamy,57,Female,Mumbai,Married,Salaried,Accountant,114070,73370,18717,953782,Rented,PhD,4,706,99,14,8,89,Referral,Web,35,LN131384,Vehicle,713251,539683,24,9.65,24816.54,0.22,2026-04-02,25,75,0.17,Medium,1,,0.39,Active,0,13,2,1,3,13.153846153846153,79,520109.72000000003,414732.96,0.797,0.231,114762.41666666667,84705.66666666667,30056.75,93.66666666666667,0.30083333333333334,1,1
C00016,Harita Oza,31,Male,Ahmedabad,Married,Unemployed,Unemployed,5922,4753,0,9422,Family Owned,Bachelor,1,453,31,0,2,128,Google Ads,Web,83,LN497926,Vehicle,200000,171493,60,11.48,3769.86,0.64,2025-05-21,100,0,0.62,High,0,High Risk,2.41,Rejected,0,12,1,2,1,9.25,56,21248.52,17840.5,0.84,0.083,3719.1666666666665,5082.083333333333,-1362.9166666666667,50.0,0.6658333333333334,1,9
C00017,Isha Amble,31,Male,Bangalore,Married,Salaried,Accountant,121572,58821,22705,2525929,Family Owned,Bachelor,1,752,27,4,1,4,Instagram,Web,2,LN745618,Personal,4998542,4949059,36,16.36,174875.12,1.44,2025-07-04,48,52,0.308,Medium,0,Insufficient Repayment Capacity,3.39,Rejected,0,20,0,2,1,4.3,20,1977184.5999999999,1870594.8499999999,0.946,0.05,121538.41666666667,58391.75,63146.666666666664,79.33333333333333,0.13166666666666668,0,0
C00018,Aadi D’Alia,41,Male,Surat,Single,Self-employed,Business Owner,242945,184620,89901,2086327,Owned,Diploma,1,694,78,11,0,34,Facebook,iPhone,13,LN329931,Personal,2378717,2097904,12,16.95,191289.04,0.79,2024-10-20,50,50,0.32,High,0,Insufficient Repayment Capacity,0.72,Rejected,0,16,5,7,11,26.375,84,1288709.6,630306.54,0.489,0.688,230779.08333333334,187118.58333333334,43660.5,71.58333333333333,0.31666666666666665,0,1
C00019,Mitali Nayar,57,Male,Bangalore,Married,Salaried,Government Employee,70617,29341,5529,644948,Family Owned,Bachelor,1,715,37,26,1,55,Referral,iPhone,16,LN430475,Vehicle,1236140,966263,24,8.14,43763.18,0.62,2026-01-29,17,83,0.122,Low,1,,1.14,Active,0,19,0,1,0,2.5789473684210527,5,449143.47000000003,433862.7,0.966,0.0,71331.41666666667,27832.0,43499.416666666664,94.08333333333333,0.3416666666666666,0,0
C00020,Peter Kurian,27,Male,Jamshedpur,Married,Salaried,Sales Executive,54559,36524,15212,725035,Owned,Bachelor,1,711,32,0,1,92,YouTube,Web,38,LN698379,Vehicle,1791415,1314966,24,10.94,61251.1,1.12,2026-02-24,63,37,0.398,High,0,Insufficient Repayment Capacity,2.01,Rejected,0,22,7,4,8,20.09090909090909,74,1026377.0,633695.59,0.617,0.364,54821.916666666664,40925.5,13896.416666666666,80.91666666666667,0.3575,2,1
C00021,Harish Dar,44,Male,Kolkata,Single,Salaried,Bank Officer,100034,45143,19763,934275,Owned,Diploma,0,737,66,12,2,174,Google Ads,Web,72,LN724735,Home Renovation,2687110,2607609,60,11.48,57321.94,0.57,2026-03-28,41,59,0.266,Medium,0,Insufficient Repayment Capacity,2.17,Rejected,0,23,0,0,0,2.0,5,942276.19,942276.19,1.0,0.0,100337.33333333333,47023.416666666664,53313.916666666664,93.75,0.3466666666666667,1,0
C00022,Ekalinga Kari,59,Male,Surat,Married,Self-employed,Consultant,137665,69061,2500,3541594,Rented,High School,3,726,112,30,7,43,Google Ads,Android,13,LN825949,Personal,4989410,3950375,36,12.06,131322.21,0.95,2026-03-03,38,62,0.248,Medium,0,Insufficient Repayment Capacity,2.39,Rejected,0,13,0,1,0,3.4615384615384617,9,345967.83,328952.88,0.951,0.0,144404.16666666666,68466.75,75937.41666666667,70.58333333333333,0.355,0,0
C00023,Urishilla Ahluwalia,48,Male,Ahmedabad,Married,Salaried,Doctor,45062,29470,17721,750856,Rented,PhD,2,686,28,8,2,84,Facebook,Web,43,LN683096,Medical,1232366,1193398,36,19.82,44241.57,0.98,2025-06-30,73,27,0.458,High,0,Insufficient Repayment Capacity,2.21,Rejected,0,12,2,3,3,13.916666666666666,80,669763.3200000001,481487.1,0.719,0.25,44650.333333333336,34787.083333333336,9863.25,72.58333333333333,0.38833333333333336,2,2
C00024,Varenya Bora,43,Female,Bhopal,Single,Salaried,Accountant,95950,51288,20068,346864,Family Owned,Diploma,1,733,76,12,3,198,Google Ads,iPhone,66,LN107199,Personal,471772,339209,24,16.93,16759.85,0.17,2025-05-01,21,79,0.146,Low,1,,0.29,Active,0,17,4,4,4,15.176470588235293,66,219274.84,144466.5,0.659,0.235,96508.33333333333,52692.416666666664,43815.916666666664,81.41666666666667,0.28250000000000003,0,0
C00025,Mitali Buch,44,Female,Bangalore,Single,Salaried,Sales Executive,147160,92803,52202,1825151,Rented,PhD,1,743,23,13,1,230,Referral,Android,91,LN560368,Medical,5584645,4411682,24,12.35,208395.0,1.42,2024-07-13,63,37,0.398,High,0,Insufficient Repayment Capacity,2.5,Rejected,0,12,1,4,2,12.5,83,780738.6000000001,635732.23,0.814,0.167,146632.0,114526.83333333333,32105.166666666668,79.83333333333333,0.3408333333333333,2,2
C00026,Chavvi Deo,47,Female,Bhopal,Married,Salaried,Bank Officer,43158,24275,12441,606233,Owned,PhD,1,753,101,15,6,264,Google Ads,Android,93,LN947572,Personal,1554667,1339716,24,14.44,64602.45,1.5,2024-07-10,33,67,0.218,Medium,0,Insufficient Repayment Capacity,2.59,Rejected,0,23,1,1,1,4.260869565217392,42,626738.04,584893.94,0.933,0.043,42857.666666666664,25524.833333333332,17332.833333333332,81.33333333333333,0.16083333333333333,0,0
C00027,Ryan Singh,24,Female,Chennai,Single,Student,Student,18335,15562,1703,101950,Owned,Bachelor,1,610,33,0,2,251,Referral,iPhone,85,LN415212,Education,220885,213833,48,10.49,5473.81,0.3,2026-02-28,63,37,0.398,High,1,,0.97,Defaulted,1,19,5,4,5,18.105263157894736,75,119646.04,74571.49,0.623,0.263,16673.666666666668,19344.916666666668,-2671.25,75.0,0.6858333333333334,3,8
C00028,Tara Bassi,54,Female,Meerut,Single,Salaried,Software Engineer,67276,37018,11612,210017,Owned,Diploma,0,746,44,13,3,37,Instagram,iPhone,12,LN562951,Personal,1046261,802467,24,16.07,39318.13,0.58,2025-12-24,41,59,0.266,Medium,0,Insufficient Repayment Capacity,0.99,Rejected,0,17,0,0,0,2.411764705882353,5,191518.09,191518.09,1.0,0.0,67702.58333333333,37178.083333333336,30524.5,85.08333333333333,0.30833333333333335,0,0
C00029,Zehaan Sekhon,26,Male,Darbhanga,Single,Salaried,Government Employee,100910,41257,31380,1207329,Family Owned,Bachelor,0,690,19,0,0,29,Instagram,iPhone,16,LN471080,Home Renovation,1372705,1092170,48,10.8,28121.74,0.28,2025-09-29,30,70,0.2,Medium,1,,0.9,Active,0,19,0,2,1,3.210526315789474,18,705624.66,664343.57,0.941,0.053,100571.75,41278.416666666664,59293.333333333336,88.08333333333333,0.375,0,0
C00030,Yoshita Shanker,24,Male,Delhi,Single,Student,Student,8867,8262,3438,24263,Owned,Bachelor,1,601,25,0,2,247,Google Ads,Android,82,LN704727,Personal,175988,159316,36,15.87,5590.86,0.63,2026-05-05,88,12,0.548,High,0,High Risk,1.5,Rejected,0,13,2,2,2,10.692307692307692,66,65068.77,49430.35,0.76,0.154,7509.25,8669.416666666666,-1160.1666666666667,47.416666666666664,0.6091666666666667,1,6
C00031,Omisha Luthra,26,Female,Ranchi,Married,Unemployed,Unemployed,11490,7096,0,22366,Owned,PhD,1,514,43,0,1,186,YouTube,iPhone,50,LN115828,Vehicle,200000,149940,48,12.69,3999.48,0.35,2025-03-11,93,7,0.578,High,0,High Risk,1.09,Rejected,0,18,2,5,4,12.5,72,41802.299999999996,32051.079999999998,0.767,0.222,7383.333333333333,7685.0,-301.6666666666667,43.583333333333336,0.6166666666666667,1,5
C00032,Ganga Peri,63,Male,Hyderabad,Divorced,Self-employed,Consultant,205523,153216,3740,2820591,Owned,Master,2,688,21,37,1,52,Instagram,Web,17,LN968976,Personal,3050754,2569001,12,21.47,239789.25,1.17,2024-08-17,45,55,0.29,Medium,0,Insufficient Repayment Capacity,1.04,Rejected,0,12,0,3,2,6.333333333333333,19,2742726.84,2485248.33,0.906,0.167,199255.25,163268.25,35987.0,85.58333333333333,0.3475,2,3
C00033,Adya Behl,24,Male,Bangalore,Single,Salaried,Bank Officer,127088,90401,10989,1710940,Family Owned,Master,0,710,51,0,3,300,Google Ads,iPhone,97,LN934198,Medical,3230970,2614130,24,15.92,127896.03,1.01,2025-05-12,50,50,0.32,High,0,Insufficient Repayment Capacity,1.71,Rejected,0,19,1,1,2,7.368421052631579,85,1217290.86,1126098.77,0.925,0.105,128285.25,93930.25,34355.0,92.75,0.36000000000000004,1,0
C00034,Kashish Dixit,48,Male,Bangalore,Married,Salaried,Teacher,94365,38304,29539,593860,Family Owned,Diploma,3,724,32,1,0,304,Google Ads,Android,79,LN758061,Vehicle,1430827,1179096,24,8.65,53677.55,0.57,2026-05-16,48,52,0.308,Medium,0,Insufficient Repayment Capacity,1.04,Rejected,0,24,1,1,1,4.708333333333333,48,1327965.84,1250011.09,0.941,0.042,94169.66666666667,42536.0,51633.666666666664,90.0,0.3516666666666666,1,0
C00035,Ayushman Mangal,45,Female,Chapra,Married,Self-employed,Business Owner,89962,51539,22780,1175381,Owned,Diploma,2,693,69,15,1,97,Instagram,Android,59,LN900931,Home Renovation,2430254,2221354,60,10.32,47547.73,0.53,2025-04-22,53,47,0.338,High,0,Insufficient Repayment Capacity,2.06,Rejected,0,23,8,3,8,25.043478260869566,88,917040.82,539011.37,0.588,0.348,92898.16666666667,53395.083333333336,39503.083333333336,56.083333333333336,0.35083333333333333,0,0
C00036,Kashvi Pandit,49,Female,Indore,Divorced,Salaried,Accountant,82363,55080,15194,757768,Rented,Master,0,696,49,16,3,29,Google Ads,Web,10,LN929767,Vehicle,1362630,1325954,60,11.56,29201.14,0.35,2025-05-20,32,68,0.212,Medium,1,,1.34,Active,0,24,2,2,3,9.666666666666666,87,958647.8400000001,850768.0700000001,0.887,0.125,81272.58333333333,55859.75,25412.833333333332,95.83333333333333,0.3591666666666667,0,0
C00037,Ekiya Bajwa,43,Male,Srinagar,Married,Salaried,Government Employee,126059,80546,44839,3630251,Owned,Diploma,1,724,49,19,0,26,Referral,iPhone,7,LN604780,Business,2261359,2013630,60,11.96,44751.4,0.36,2024-08-02,50,50,0.32,High,1,,1.33,Active,0,20,7,4,8,19.9,80,2675183.4000000004,1420052.35,0.531,0.4,125307.33333333333,84957.83333333333,40349.5,85.91666666666667,0.295,1,1
C00038,Liam Kapadia,52,Male,Pune,Married,Salaried,Government Employee,96084,49750,29261,1376277,Owned,PhD,4,772,50,27,4,148,Instagram,iPhone,75,LN399095,Business,334429,269633,36,10.08,8710.43,0.09,2026-03-10,15,85,0.11,Low,1,,0.23,Defaulted,1,16,2,1,2,13.125,85,1504167.04,1255782.46,0.835,0.125,95208.83333333333,50538.333333333336,44670.5,74.91666666666667,0.1475,0,0
C00039,Urvashi Yogi,50,Female,Surat,Married,Self-employed,Freelancer,89998,53844,23903,384752,Rented,Bachelor,4,717,98,27,0,99,Referral,Android,33,LN449716,Personal,2138159,1741425,12,20.88,162050.38,1.8,2024-08-17,63,37,0.398,High,0,Insufficient Repayment Capacity,1.61,Rejected,0,19,3,7,5,12.789473684210526,75,632530.52,454867.55000000005,0.719,0.263,90388.16666666667,55093.25,35294.916666666664,78.0,0.36166666666666664,0,0
C00040,Zashil Keer,44,Male,Patna,Married,Salaried,Government Employee,40616,16579,5387,670317,Family Owned,Master,4,727,91,2,6,71,Instagram,Android,19,LN699760,Home Renovation,1227504,1215737,48,10.34,31033.12,0.76,2024-07-18,48,52,0.308,Medium,0,Insufficient Repayment Capacity,2.49,Rejected,0,12,1,2,1,10.416666666666666,84,361904.88,319471.07,0.883,0.083,40597.0,18013.583333333332,22583.416666666668,76.41666666666667,0.32666666666666666,0,0
C00041,Onkar Bhavsar,57,Female,Bangalore,Married,Salaried,Software Engineer,72171,34455,666,635101,Owned,High School,3,718,18,34,0,232,Referral,Android,98,LN610774,Business,740071,559368,48,10.65,14362.27,0.2,2025-09-15,5,95,0.05,Low,1,,0.65,Closed,0,22,0,0,0,2.6363636363636362,5,816824.58,816824.58,1.0,0.0,72625.16666666667,38262.833333333336,34362.333333333336,88.91666666666667,0.3541666666666667,2,1
C00042,Zarna Bala,36,Female,Indore,Married,Self-employed,Contractor,169696,76031,64334,4391515,Family Owned,High School,4,728,103,8,7,76,Google Ads,Web,32,LN106292,Business,3804271,3419613,60,12.97,77754.2,0.46,2025-08-17,55,45,0.35,High,0,Insufficient Repayment Capacity,1.68,Rejected,0,12,0,2,1,5.166666666666667,17,3286515.0,3139156.18,0.955,0.083,163640.75,73915.83333333333,89724.91666666667,66.16666666666667,0.3441666666666667,0,0
C00043,Lakshit De,22,Female,Meerut,Married,Student,Student,25221,24812,1470,25399,Rented,Bachelor,3,552,15,0,0,51,Referral,Android,15,LN611046,Education,165653,163702,48,10.99,4230.17,0.17,2024-12-31,80,20,0.5,High,1,,0.54,Active,0,19,3,7,7,14.947368421052632,69,80240.04,56070.229999999996,0.699,0.368,20433.75,30863.166666666668,-10429.416666666666,57.666666666666664,0.5958333333333333,4,10
C00044,Triveni Bhagat,19,Female,Bhopal,Single,Unemployed,Unemployed,13377,12020,0,13208,Owned,Bachelor,1,464,2,0,0,276,Instagram,Web,71,LN886371,Business,300000,242149,36,13.95,8270.2,0.62,2025-12-07,100,0,0.62,High,0,High Risk,1.51,Rejected,0,20,1,6,3,8.7,73,46542.0,38667.229999999996,0.831,0.15,9057.0,13093.833333333334,-4036.8333333333335,33.75,0.6266666666666666,1,11
C00045,Chandani Dhingra,62,Male,Srinagar,Married,Self-employed,Consultant,89680,67320,33362,320887,Owned,Master,3,647,24,35,0,41,YouTube,Web,21,LN239164,Medical,2761438,2252871,24,19.05,113618.85,1.27,2024-12-07,81,19,0.506,High,0,High Risk,2.09,Rejected,0,12,1,0,1,6.75,53,639496.2,586204.85,0.917,0.083,79962.16666666667,72543.58333333333,7418.583333333333,82.75,0.7050000000000001,1,2
C00046,Nilima Gala,33,Female,Delhi,Married,Salaried,Teacher,140380,102311,23373,3567898,Family Owned,Diploma,3,699,41,2,0,193,Google Ads,Android,65,LN727390,Business,1826129,1345218,48,13.01,36095.51,0.26,2025-03-16,30,70,0.2,Medium,1,,0.8,Active,0,20,4,2,4,14.75,71,1580353.2000000002,1198350.53,0.758,0.2,142711.83333333334,126335.16666666667,16376.666666666666,76.25,0.3766666666666667,2,2
C00047,Jackson Sawhney,31,Male,Chennai,Married,Salaried,Teacher,86373,51972,19604,604049,Rented,Diploma,3,670,8,8,0,127,Referral,Android,45,LN592331,Business,2554335,2456115,36,12.09,81683.78,0.95,2025-09-10,63,37,0.398,High,0,Insufficient Repayment Capacity,2.37,Rejected,0,21,6,4,7,21.333333333333332,89,1300055.19,824074.14,0.634,0.333,87611.66666666667,54318.166666666664,33293.5,93.75,0.365,0,0
C00048,Charan Soni,36,Female,Ahmedabad,Married,Salaried,Teacher,50445,21548,19738,457778,Rented,PhD,3,725,57,8,2,101,YouTube,iPhone,61,LN350525,Personal,1615097,1323083,12,19.79,122430.2,2.43,2025-05-22,63,37,0.398,High,0,Insufficient Repayment Capacity,2.19,Rejected,0,20,0,2,1,4.0,16,253855.6,239058.88,0.942,0.05,50588.0,23109.583333333332,27478.416666666668,80.25,0.335,1,0
C00049,Ria Agrawal,22,Female,Pune,Single,Student,Student,29144,20455,2849,105434,Rented,Bachelor,1,614,20,0,0,78,Facebook,iPhone,32,LN348384,Education,165365,159522,48,9.94,4041.3,0.14,2025-10-08,58,42,0.368,High,1,,0.46,Closed,0,12,2,2,2,12.5,61,514607.52,378178.2,0.735,0.167,22079.5,24937.166666666668,-2857.6666666666665,56.666666666666664,0.5883333333333334,2,6
C00050,Baghyawati Babu,25,Male,Meerut,Married,Student,Student,26817,16911,6277,100785,Owned,Bachelor,2,641,13,0,1,217,YouTube,iPhone,78,LN467276,Education,491361,489041,48,8.73,12107.21,0.45,2024-08-22,70,30,0.44,High,1,,1.52,Closed,0,13,5,2,5,22.307692307692307,73,24965.46,13616.12,0.545,0.385,21709.833333333332,20642.25,1067.5833333333333,57.666666666666664,0.7174999999999999,2,5
C00051,Charles Rana,24,Male,Hyderabad,Single,Student,Student,29182,16743,2702,80804,Rented,High School,0,636,68,0,5,16,Referral,Android,7,LN427730,Education,227264,214326,48,11.95,5638.77,0.19,2025-04-14,46,54,0.296,Medium,1,,0.61,Closed,0,20,1,2,1,6.5,69,117102.8,107010.45000000001,0.914,0.05,24210.25,17433.583333333332,6776.666666666667,39.5,0.7266666666666667,1,1
C00052,Edhitha Chatterjee,34,Male,Ranchi,Single,Salaried,Bank Officer,62271,35030,15238,929945,Family Owned,Master,1,752,52,12,1,129,Google Ads,Android,72,LN238024,Medical,2198793,2148192,24,15.76,104935.99,1.69,2026-04-13,43,57,0.278,Medium,0,Insufficient Repayment Capacity,2.87,Rejected,0,12,1,1,1,10.166666666666666,86,1579228.3199999998,1404606.94,0.889,0.083,62442.166666666664,35538.833333333336,26903.333333333332,96.41666666666667,0.16166666666666665,0,0
C00053,Omisha Brar,55,Male,Indore,Divorced,Salaried,Bank Officer,34225,17826,6686,373437,Family Owned,Master,2,716,92,1,3,226,YouTube,iPhone,76,LN210976,Vehicle,207884,159174,48,8.35,3912.11,0.11,2024-12-16,23,77,0.158,Low,1,,0.39,Defaulted,1,13,0,0,0,2.3846153846153846,4,42756.35,42756.35,1.0,0.0,33568.5,17770.583333333332,15797.916666666666,97.66666666666667,0.315,0,0
C00054,Brijesh Saraf,52,Male,Nagpur,Single,Salaried,Bank Officer,132498,105075,21521,1131608,Rented,Diploma,0,701,94,11,6,106,Facebook,Android,28,LN407740,Vehicle,3924555,2876486,48,9.88,72789.46,0.55,2025-06-10,50,50,0.32,High,1,,1.81,Closed,0,12,3,0,3,12.666666666666666,63,1019466.8400000001,764600.1300000001,0.75,0.25,133223.08333333334,109043.33333333333,24179.75,85.25,0.3325,1,1
C00055,Gaurav Sarin,44,Male,Kolkata,Divorced,Self-employed,Contractor,75718,53019,28007,892513,Rented,Diploma,0,643,19,1,0,29,Instagram,Web,8,LN452017,Medical,2172696,1532781,12,17.02,139811.46,1.85,2024-10-30,70,30,0.44,High,0,Insufficient Repayment Capacity,1.69,Rejected,0,17,2,4,4,10.352941176470589,59,1045398.34,801263.4299999999,0.766,0.235,69312.91666666667,68699.75,613.1666666666666,45.25,0.6,3,5
C00056,Tristan Korpal,21,Male,Jamshedpur,Single,Student,Student,9128,7093,1081,45353,Family Owned,Bachelor,1,613,10,0,0,348,Facebook,Web,92,LN480653,Personal,129237,115194,36,13.17,3890.78,0.43,2026-01-26,70,30,0.44,High,1,,1.05,Defaulted,1,24,1,8,2,8.083333333333334,79,31881.120000000003,26126.620000000003,0.82,0.083,7422.333333333333,9665.916666666666,-2243.5833333333335,42.416666666666664,0.6741666666666667,4,7
C00057,Pallavi Arora,37,Female,Indore,Married,Self-employed,Contractor,51055,35674,2226,409959,Owned,Master,3,668,3,14,0,99,Instagram,Android,36,LN584273,Business,1233684,1231297,60,12.24,27539.09,0.54,2026-01-29,33,67,0.218,Medium,1,,2.01,Active,0,14,0,1,0,3.0,5,313483.52,298143.8,0.951,0.0,51808.25,39380.75,12427.5,66.66666666666667,0.32166666666666666,1,1
C00058,Mitesh Mukhopadhyay,32,Male,Pune,Single,Salaried,Accountant,69568,35923,4868,916812,Rented,High School,0,746,12,2,0,55,Google Ads,iPhone,22,LN930787,Vehicle,2102299,1826268,48,8.1,44670.31,0.64,2025-06-10,43,57,0.278,Medium,1,,2.19,Closed,0,21,6,5,7,16.238095238095237,54,976667.37,614476.89,0.629,0.333,69901.91666666667,36802.333333333336,33099.583333333336,99.41666666666667,0.36166666666666664,0,0
