customer_id,name,age,gender,city,marital_status,employment_type,occupation,monthly_income,monthly_expense,existing_emi,savings_balance,home_ownership,education_level,dependents,credit_score,account_age_months,job_tenure_years,previous_loans,monthly_transactions,acquisition_channel,device_type,digital_activity_score
C00032,Ganga Peri,63,Male,Hyderabad,Divorced,Self-employed,Consultant,205523,153216,3740,2820591,Owned,Master,2,688,21,37,1,52,Instagram,Web,17
C00033,Adya Behl,24,Male,Bangalore,Single,Salaried,Bank Officer,127088,90401,10989,1710940,Family Owned,Master,0,710,51,0,3,300,Google Ads,iPhone,97
C00034,Kashish Dixit,48,Male,Bangalore,Married,Salaried,Teacher,94365,38304,29539,593860,Family Owned,Diploma,3,724,32,1,0,304,Google Ads,Android,79
C00035,Ayushman Mangal,45,Female,Chapra,Married,Self-employed,Business Owner,89962,51539,22780,1175381,Owned,Diploma,2,693,69,15,1,97,Instagram,Android,59
C00036,Kashvi Pandit,49,Female,Indore,Divorced,Salaried,Accountant,82363,55080,15194,757768,Rented,Master,0,696,49,16,3,29,Google Ads,Web,10
C00037,Ekiya Bajwa,43,Male,Srinagar,Married,Salaried,Government Employee,126059,80546,44839,3630251,Owned,Diploma,1,724,49,19,0,26,Referral,iPhone,7
C00038,Liam Kapadia,52,Male,Pune,Married,Salaried,Government Employee,96084,49750,29261,1376277,Owned,PhD,4,772,50,27,4,148,Instagram,iPhone,75
C00039,Urvashi Yogi,50,Female,Surat,Married,Self-employed,Freelancer,89998,53844,23903,384752,Rented,Bachelor,4,717,98,27,0,99,Referral,Android,33
C00040,Zashil Keer,44,Male,Patna,Married,Salaried,Government Employee,40616,16579,5387,670317,Family Owned,Master,4,727,91,2,6,71,Instagram,Android,19
C00041,Onkar Bhavsar,57,Female,Bangalore,Married,Salaried,Software Engineer,72171,34455,666,635101,Owned,High School,3,718,18,34,0,232,Referral,Android,98
C00042,Zarna Bala,36,Female,Indore,Married,Self-employed,Contractor,169696,76031,64334,4391515,Family Owned,High School,4,728,103,8,7,76,Google Ads,Web,32
C00043,Lakshit De,22,Female,Meerut,Married,Student,Student,25221,24812,1470,25399,Rented,Bachelor,3,552,15,0,0,51,Referral,Android,15
C00044,Triveni Bhagat,19,Female,Bhopal,Single,Unemployed,Unemployed,13377,12020,0,13208,Owned,Bachelor,1,464,2,0,0,276,Instagram,Web,71
C00045,Chandani Dhingra,62,Male,Srinagar,Married,Self-employed,Consultant,89680,67320,33362,320887,Owned,Master,3,647,24,35,0,41,YouTube,Web,21
C00046,Nilima Gala,33,Female,Delhi,Married,Salaried,Teacher,140380,102311,23373,3567898,Family Owned,Diploma,3,699,41,2,0,193,Google Ads,Android,65
C00047,Jackson Sawhney,31,Male,Chennai,Married,Salaried,Teacher,86373,51972,19604,604049,Rented,Diploma,3,670,8,8,0,127,Referral,Android,45
C00048,Charan Soni,36,Female,Ahmedabad,Married,Salaried,Teacher,50445,21548,19738,457778,Rented,PhD,3,725,57,8,2,101,YouTube,iPhone,61
C00049,Ria Agrawal,22,Female,Pune,Single,Student,Student,29144,20455,2849,105434,Rented,Bachelor,1,614,20,0,0,78,Facebook,iPhone,32
C00050,Baghyawati Babu,25,Male,Meerut,Married,Student,Student,26817,16911,6277,100785,Owned,Bachelor,2,641,13,0,1,217,YouTube,iPhone,78
C00051,Charles Rana,24,Male,Hyderabad,Single,Student,Student,29182,16743,2702,80804,Rented,High School,0,636,68,0,5,16,Referral,Android,7
C00052,Edhitha Chatterjee,34,Male,Ranchi,Single,Salaried,Bank Officer,62271,35030,15238,929945,Family Owned,Master,1,752,52,12,1,129,Google Ads,Android,72
C00053,Omisha Brar,55,Male,Indore,Divorced,Salaried,Bank Officer,34225,17826,6686,373437,Family Owned,Master,2,716,92,1,3,226,YouTube,iPhone,76
C00054,Brijesh Saraf,52,Male,Nagpur,Single,Salaried,Bank Officer,132498,105075,21521,1131608,Rented,Diploma,0,701,94,11,6,106,Facebook,Android,28
C00055,Gaurav Sarin,44,Male,Kolkata,Divorced,Self-employed,Contractor,75718,53019,28007,892513,Rented,Diploma,0,643,19,1,0,29,Instagram,Web,8
C00056,Tristan Korpal,21,Male,Jamshedpur,Single,Student,Student,9128,7093,1081,45353,Family Owned,Bachelor,1,613,10,0,0,348,Facebook,Web,92
C00057,Pallavi Arora,37,Female,Indore,Married,Self-employed,Contractor,51055,35674,2226,409959,Owned,Master,3,668,3,14,0,99,Instagram,Android,36
C00058,Mitesh Mukhopadhyay,32,Male,Pune,Single,Salaried,Accountant,69568,35923,4868,916812,Rented,High School,0,746,12,2,0,55,Google Ads,iPhone,22
C00059,Faris Dasgupta,49,Male,Kolkata,Married,Salaried,Bank Officer,93650,38739,8932,1296394,Owned,High School,3,766,97,19,4,293,Facebook,Android,91
C00060,Charan Acharya,28,Female,Mumbai,Married,Salaried,Bank Officer,108875,44426,35065,1306732,Rented,Diploma,4,755,49,1,1,11,Google Ads,Web,7
C00061,Anusha Nayar,48,Male,Patna,Married,Salaried,Sales Executive,92302,50166,14645,1123500,Owned,Bachelor,2,752,15,1,1,229,Google Ads,iPhone,64
C00062,Tristan Nadkarni,42,Male,Bhubaneswar,Married,Self-employed,Contractor,87602,40790,13828,532715,Owned,Bachelor,1,718,48,18,1,23,YouTube,Android,9
C00063,Mekhala Iyengar,37,Male,Delhi,Married,Salaried,Government Employee,76961,41687,15587,860743,Owned,Bachelor,4,729,54,14,4,81,Facebook,Android,50
C00064,Ekapad Banerjee,20,Male,Patna,Single,Student,Student,12630,6866,1682,16705,Owned,High School,0,638,5,0,0,55,Facebook,Android,30
C00065,Urvi Issac,33,Other,Darbhanga,Married,Self-employed,Shop Owner,79621,55006,27914,252605,Rented,Diploma,3,670,85,7,0,327,Facebook,Web,83
C00066,Vinaya Varty,21,Female,Darbhanga,Single,Student,Student,22745,19854,739,101722,Rented,Bachelor,1,591,26,0,2,124,Facebook,Web,62
C00067,Balveer Banik,57,Female,Chapra,Married,Self-employed,Business Owner,237805,163991,60324,5408598,Family Owned,Bachelor,2,709,29,22,0,114,Facebook,Web,50
C00068,Dayamai De,42,Male,Meerut,Single,Salaried,Bank Officer,125728,63522,12884,1258608,Owned,Diploma,1,736,57,8,4,25,Facebook,Android,7
C00069,Kevin Chopra,39,Male,Pune,Married,Self-employed,Shop Owner,178234,85918,56396,5537976,Owned,PhD,4,698,66,8,3,93,YouTube,iPhone,49
C00070,Akshay Walla,39,Male,Delhi,Married,Salaried,Accountant,149698,105582,39086,3549465,Owned,High School,4,737,38,10,3,261,Referral,Web,81
C00071,Jonathan Jaggi,63,Male,Surat,Married,Self-employed,Shop Owner,102849,50325,28792,1723315,Owned,PhD,2,716,92,17,7,43,Instagram,Web,12
C00072,Ladli Kuruvilla,18,Male,Surat,Married,Student,Student,5284,4967,2060,23933,Family Owned,Diploma,1,597,1,0,0,209,YouTube,Web,54
C00073,Libni Som,48,Female,Hyderabad,Married,Salaried,Government Employee,92066,51095,13595,343477,Rented,PhD,1,709,54,26,0,130,Facebook,Android,35
C00074,Hamsini Dalal,34,Female,Ahmedabad,Married,Self-employed,Contractor,247001,195931,31837,4334415,Rented,High School,4,688,74,12,1,102,Google Ads,Web,31
C00075,Zaid Bhattacharyya,47,Female,Srinagar,Married,Salaried,Bank Officer,37188,22161,7529,150551,Owned,Bachelor,2,776,105,19,5,130,Referral,Web,36
C00076,Saksham Varughese,25,Male,Srinagar,Married,Salaried,Teacher,31735,17570,9452,447112,Owned,Master,4,736,1,2,0,60,Referral,Android,17
C00077,Mugdha Kale,46,Female,Srinagar,Single,Salaried,Sales Executive,85715,67719,12296,1213960,Rented,PhD,1,749,115,19,4,111,Instagram,iPhone,28
C00078,Forum Sheth,53,Female,Hyderabad,Married,Salaried,Doctor,58768,32784,16820,654967,Rented,High School,3,714,29,11,2,106,YouTube,Android,68
C00079,Hemani Rajagopalan,47,Female,Ahmedabad,Married,Salaried,Doctor,131750,60353,212,999241,Family Owned,Bachelor,4,723,9,1,0,13,Facebook,iPhone,5
C00080,Chanakya Krish,53,Male,Bhopal,Married,Salaried,Bank Officer,85108,63305,4920,1081611,Owned,High School,4,753,119,6,4,19,Instagram,iPhone,8
C00081,Alka Deo,58,Male,Chapra,Married,Salaried,Doctor,129631,78528,45219,3527860,Rented,Bachelor,4,712,40,31,3,282,Referral,Android,81
C00082,Andrew Rajan,20,Male,Kolkata,Single,Student,Student,24855,17057,3680,58955,Rented,High School,1,633,14,0,1,296,Instagram,Android,92
C00083,Advay Bandi,24,Female,Bhubaneswar,Single,Salaried,Software Engineer,93069,47223,25446,1478158,Owned,PhD,0,717,55,0,0,20,Instagram,Web,8
C00084,Yahvi Kashyap,48,Male,Pune,Married,Salaried,Accountant,117057,85027,31134,1167582,Owned,PhD,1,668,18,8,1,56,YouTube,Web,16
C00085,Yutika Jhaveri,32,Male,Indore,Single,Self-employed,Contractor,46246,30194,10422,736803,Owned,Master,0,692,23,10,1,129,Facebook,iPhone,81
C00086,Zashil Brar,58,Male,Chapra,Married,Unemployed,Unemployed,2845,1744,0,2304,Rented,Bachelor,4,490,28,0,2,281,Instagram,Android,73
C00087,Harshil Subramaniam,64,Male,Ahmedabad,Married,Self-employed,Shop Owner,65394,51372,20193,364883,Rented,PhD,2,681,109,12,2,229,Google Ads,iPhone,64
C00088,Brinda Varma,26,Female,Surat,Married,Self-employed,Business Owner,160799,95411,12343,1220124,Owned,Master,4,655,8,0,0,128,YouTube,Android,50
C00089,Mekhala De,52,Male,Ranchi,Married,Salaried,Sales Executive,26388,20895,548,37330,Rented,PhD,2,719,74,29,1,193,Facebook,Android,98
C00090,Jonathan Tella,53,Male,Mumbai,Married,Salaried,Teacher,86875,69461,15637,398779,Rented,Diploma,2,705,15,10,0,223,Referral,iPhone,69
C00091,Urmi Bhat,28,Female,Kolkata,Single,Salaried,Accountant,116262,87851,16212,3821545,Rented,Bachelor,0,716,70,3,0,36,YouTube,Web,16
C00092,Vaishnavi Brahmbhatt,58,Female,Chennai,Married,Self-employed,Shop Owner,121757,78019,9767,3367293,Rented,High School,4,701,61,10,3,54,Google Ads,iPhone,20
C00093,Aishani Balay,56,Male,Bangalore,Divorced,Self-employed,Shop Owner,41039,21242,3600,308096,Rented,Master,0,678,44,1,1,54,Referral,Android,31
C00094,Indira Buch,57,Male,Bhubaneswar,Divorced,Salaried,Sales Executive,65443,45269,12601,1115715,Rented,Master,1,739,22,26,0,231,Google Ads,Android,96
C00095,Ucchal Barman,28,Male,Ballia,Single,Salaried,Sales Executive,62707,29277,16607,394031,Family Owned,High School,0,688,19,3,0,148,Referral,Web,48
C00096,Adweta Talwar,51,Female,Indore,Married,Salaried,Teacher,127300,77730,24312,4335747,Family Owned,Diploma,2,705,38,0,0,22,Referral,Web,6
C00097,Gaurav Dasgupta,23,Female,Ranchi,Single,Student,Student,26910,15690,3621,39009,Rented,High School,1,618,54,0,3,42,Google Ads,Android,18
C00098,Yamini Kannan,33,Male,Hyderabad,Married,Salaried,Sales Executive,31457,16363,1704,231388,Family Owned,Bachelor,1,719,5,3,0,60,Google Ads,Web,21
C00099,Daksha Ganesan,39,Female,Bhubaneswar,Married,Self-employed,Business Owner,242651,142662,73567,3173438,Rented,Master,2,685,82,2,1,61,Instagram,iPhone,23
C00100,Yagnesh More,22,Female,Nagpur,Single,Salaried,Doctor,106561,61881,41975,2936552,Rented,Diploma,0,703,5,0,0,131,Facebook,Web,49
C00101,Baghyawati Setty,60,Male,Delhi,Married,Self-employed,Freelancer,174550,117620,46557,1317380,Rented,Master,2,714,77,14,5,116,Facebook,iPhone,45
C00102,Nachiket Patil,19,Male,Patna,Single,Student,Student,6825,6514,1586,11114,Owned,Diploma,0,600,1,0,0,69,Facebook,iPhone,18
C00103,Qushi Raman,34,Male,Ballia,Single,Self-employed,Freelancer,51257,40540,4768,618878,Family Owned,Master,1,674,16,2,1,98,Google Ads,Web,25
C00104,Saanvi D’Alia,37,Male,Ranchi,Married,Salaried,Software Engineer,128654,89009,8624,3784000,Rented,PhD,2,697,30,8,0,47,YouTube,Android,24
C00105,Chavvi Palla,53,Female,Darbhanga,Married,Salaried,Doctor,147998,62282,12447,3878106,Owned,High School,4,761,78,4,1,38,Referral,Web,14
C00106,Ekantika Ramachandran,31,Other,Delhi,Married,Salaried,Doctor,137022,81521,38748,1807136,Rented,Diploma,3,710,62,2,3,261,YouTube,iPhone,90
C00107,Nirja Radhakrishnan,33,Female,Jamshedpur,Single,Salaried,Accountant,93497,63632,15449,397640,Rented,PhD,0,681,63,0,5,166,Instagram,Android,42
C00108,Rajeshri Sharma,59,Female,Mumbai,Single,Salaried,Bank Officer,120986,74181,20234,2047532,Owned,High School,1,741,22,15,1,145,YouTube,Web,47
C00109,David Atwal,34,Male,Chennai,Married,Salaried,Sales Executive,101075,73446,11122,1823399,Rented,Diploma,1,676,33,3,0,179,Facebook,iPhone,100
C00110,Faraj Brahmbhatt,29,Male,Bhopal,Married,Salaried,Government Employee,63641,48565,20973,1015267,Owned,Bachelor,2,733,69,1,5,75,Google Ads,iPhone,24
C00111,Gaurav Ganesan,24,Female,Srinagar,Single,Student,Student,21434,19552,6408,114333,Family Owned,High School,0,570,15,0,1,14,Instagram,Web,7
C00112,Eshana Dhaliwal,60,Female,Ranchi,Single,Salaried,Government Employee,58285,46059,18191,702799,Rented,PhD,0,736,46,32,1,179,Facebook,Android,46
C00113,Samuel Divan,29,Male,Delhi,Single,Salaried,Software Engineer,123054,72184,42924,2145458,Family Owned,Master,0,716,75,7,2,271,Referral,Android,90
C00114,Harini Guha,39,Male,Delhi,Married,Salaried,Sales Executive,119708,64336,28992,2754868,Family Owned,Master,2,706,104,2,0,52,YouTube,Web,26
C00115,Bishakha Munshi,31,Female,Indore,Single,Salaried,Software Engineer,69995,28607,3162,1229081,Rented,Bachelor,0,757,95,7,5,178,Google Ads,Android,60
C00116,Odika Bains,45,Male,Darbhanga,Married,Self-employed,Consultant,181121,135410,26924,6077107,Family Owned,Bachelor,2,659,1,20,0,362,Instagram,iPhone,95
C00117,Yash Chahal,54,Female,Bhubaneswar,Married,Self-employed,Contractor,128085,102080,25102,2216325,Owned,Bachelor,2,672,37,18,0,123,Instagram,Web,76
C00118,Sai Bajaj,29,Female,Bhopal,Married,Salaried,Software Engineer,37640,22818,13618,296739,Rented,PhD,3,694,34,2,1,68,Google Ads,Web,23
C00119,Abhimanyu Kala,58,Male,Patna,Married,Salaried,Bank Officer,137563,59457,31665,2535425,Rented,Diploma,1,758,90,33,0,72,Referral,Web,30
C00120,Warhi Gara,51,Female,Patna,Single,Salaried,Accountant,140715,88446,15033,4571185,Owned,Diploma,0,717,113,9,9,54,Referral,iPhone,34
C00121,Irya Ravi,33,Female,Mumbai,Married,Salaried,Sales Executive,129354,101426,44343,3256955,Rented,Master,4,731,110,6,4,159,Referral,Android,67
C00122,Ati Agarwal,56,Male,Chennai,Married,Salaried,Software Engineer,139194,103456,2697,4890820,Owned,Diploma,3,726,4,28,0,289,Google Ads,Android,87
C00123,David Boase,49,Male,Darbhanga,Married,Self-employed,Business Owner,109320,59240,8405,1268300,Owned,Diploma,2,700,104,8,2,119,Instagram,iPhone,54
C00124,Wridesh Dasgupta,36,Male,Bhopal,Married,Salaried,Sales Executive,87090,58296,33837,1175009,Rented,Diploma,1,721,58,0,2,248,YouTube,Android,83
C00125,Umang Banerjee,22,Female,Patna,Single,Salaried,Doctor,58399,32481,8734,739216,Rented,High School,1,743,12,0,1,239,Referral,Web,78
C00126,Dayita Patel,41,Male,Pune,Married,Salaried,Doctor,122693,62344,9575,1746833,Owned,Diploma,4,737,36,15,2,144,Referral,Android,67
C00127,Ojas Nayar,30,Female,Pune,Single,Self-employed,Shop Owner,216425,127596,24889,2740322,Family Owned,High School,1,705,110,2,4,175,Facebook,Android,73
C00128,Mitesh Sridhar,32,Male,Bhopal,Married,Salaried,Doctor,103239,48925,1251,784980,Rented,PhD,3,703,4,0,0,15,YouTube,Android,5
C00129,Farhan Gaba,31,Male,Srinagar,Married,Self-employed,Contractor,160904,116911,61449,4959085,Owned,Master,2,708,61,6,3,123,Referral,iPhone,56
C00130,Eshana Dugar,40,Female,Bangalore,Married,Salaried,Software Engineer,123013,57293,36413,1579349,Owned,Diploma,4,747,76,8,2,7,YouTube,Android,2
C00131,Bishakha Verma,26,Female,Indore,Married,Salaried,Government Employee,120848,58230,40164,4070005,Owned,Diploma,4,751,69,0,0,72,Facebook,iPhone,22
C00132,Girik Gara,51,Female,Bhubaneswar,Married,Salaried,Government Employee,132274,87597,14212,991680,Rented,Master,3,686,6,13,0,131,YouTube,iPhone,83
C00133,Ria Sundaram,22,Male,Patna,Single,Student,Student,20742,11011,5312,102996,Rented,Bachelor,0,644,47,0,0,192,Google Ads,Android,88
C00134,Benjamin Shukla,26,Male,Ahmedabad,Single,Salaried,Teacher,54264,42104,5789,297987,Rented,Diploma,1,713,96,2,2,25,Instagram,Android,13
C00135,Atharv Gokhale,35,Female,Kolkata,Married,Unemployed,Unemployed,10700,7686,0,6731,Rented,PhD,1,471,39,0,1,49,Facebook,Web,18
C00136,Ishwar Pandey,20,Female,Jamshedpur,Single,Student,Student,17129,8858,1398,68443,Rented,High School,0,630,18,0,1,38,YouTube,Web,11
C00137,Nisha Koshy,60,Male,Bhopal,Single,Salaried,Teacher,27699,17132,3874,115581,Rented,Bachelor,1,718,68,18,3,248,YouTube,Web,78
C00138,Krisha Choudhary,26,Female,Delhi,Single,Salaried,Sales Executive,136022,103920,9581,1880350,Rented,Master,0,685,5,2,0,76,Facebook,Web,44
C00139,Isaac Bhatt,23,Female,Bangalore,Single,Student,Student,12494,12188,460,45580,Rented,Bachelor,1,559,41,0,1,120,Google Ads,iPhone,42
C00140,Odika Venkataraman,53,Male,Bhubaneswar,Married,Salaried,Doctor,116888,62555,38151,2145239,Rented,Bachelor,3,756,119,0,2,155,Facebook,Web,43
C00141,Matthew Chad,62,Female,Bhopal,Married,Self-employed,Consultant,160706,69088,39844,2974318,Rented,High School,1,718,35,10,2,74,Facebook,Web,47
C00142,Charan Dhawan,54,Female,Indore,Married,Salaried,Sales Executive,118076,70473,22043,2860403,Rented,PhD,4,700,4,8,0,106,Instagram,Android,29
C00143,Siddharth Kanda,19,Female,Nagpur,Single,Student,Student,29145,14739,9059,122392,Owned,Bachelor,1,654,5,0,0,82,Instagram,Web,21
C00144,Udarsh Rastogi,18,Female,Hyderabad,Single,Unemployed,Unemployed,6136,4804,0,4786,Owned,PhD,0,512,1,0,0,138,Instagram,Web,77
C00145,Yashica Date,19,Female,Darbhanga,Single,Student,Student,15198,12320,2076,39212,Rented,Diploma,0,587,12,0,1,210,Referral,Android,81
C00146,Zarna Mishra,34,Male,Indore,Single,Salaried,Teacher,73771,31122,29144,242376,Rented,Diploma,1,724,88,11,5,178,Facebook,Android,57
C00147,Neha Chandran,60,Female,Chapra,Single,Unemployed,Unemployed,14189,12857,0,30740,Owned,Bachelor,1,450,21,0,0,259,Facebook,iPhone,69
C00148,Lavanya Dubey,20,Female,Nagpur,Single,Student,Student,26094,25041,4655,73706,Rented,Diploma,1,554,4,0,0,61,Instagram,Web,26
C00149,Harinakshi Verma,35,Female,Darbhanga,Married,Salaried,Bank Officer,134627,104253,33195,1662753,Owned,High School,1,727,68,11,0,148,Facebook,Android,87
C00150,Yashoda Narula,52,Female,Meerut,Single,Salaried,Teacher,133980,74048,3534,3413734,Rented,Master,0,714,114,26,1,46,Referral,Android,17
C00151,Chandresh Memon,63,Female,Delhi,Divorced,Self-employed,Shop Owner,72705,43627,21230,530826,Rented,Master,2,651,22,30,0,132,Google Ads,Web,44
C00152,Hamsini Kurian,21,Female,Srinagar,Single,Student,Student,13932,12163,4025,53016,Family Owned,Bachelor,0,558,16,0,0,9,Instagram,Android,6
C00153,Atharv Radhakrishnan,24,Male,Pune,Single,Salaried,Doctor,123022,51676,18330,2834198,Owned,Diploma,0,761,38,0,1,19,Facebook,iPhone,11
C00154,Girik Setty,53,Female,Ballia,Married,Self-employed,Freelancer,65577,39451,17759,374589,Rented,PhD,1,695,115,31,0,52,Referral,Android,17
C00155,Reyansh Upadhyay,42,Male,Hyderabad,Married,Salaried,Software Engineer,110061,60747,37496,677455,Rented,Diploma,3,699,62,10,0,20,Facebook,Web,6
C00156,Ijaya Dewan,31,Female,Bhubaneswar,Single,Salaried,Bank Officer,115472,63970,14089,841511,Family Owned,Diploma,1,683,26,5,1,291,Google Ads,Web,78
C00157,Widisha D’Alia,54,Male,Bhopal,Married,Self-employed,Business Owner,214209,115235,14503,6677560,Rented,Bachelor,1,699,12,30,1,132,Referral,Web,40
C00158,Gaurang Jha,23,Female,Chapra,Single,Unemployed,Unemployed,1738,1117,0,2961,Rented,PhD,0,454,1,0,0,225,Google Ads,Android,100
C00159,Upma Dua,20,Female,Chapra,Single,Unemployed,Unemployed,8583,6196,0,4285,Rented,Bachelor,1,469,15,0,1,20,Google Ads,iPhone,7
C00160,Dalbir Hayre,52,Male,Jamshedpur,Divorced,Salaried,Sales Executive,66117,36264,13483,559135,Rented,PhD,0,695,10,30,0,146,Referral,Android,96
C00161,Rachita Hegde,56,Male,Mumbai,Married,Salaried,Accountant,91207,44111,8393,804833,Rented,Bachelor,2,721,4,15,0,98,YouTube,Android,61
C00162,Mahika Basu,24,Male,Kolkata,Single,Salaried,Teacher,46531,25835,2941,616731,Family Owned,Diploma,0,697,1,2,0,132,Google Ads,iPhone,41
C00163,Libni Anne,48,Female,Bhopal,Single,Self-employed,Freelancer,36227,26326,5277,327488,Family Owned,Diploma,0,661,59,23,4,106,Instagram,iPhone,67
C00164,Luke Khosla,18,Female,Kolkata,Single,Student,Student,17799,9882,6876,25257,Family Owned,High School,0,641,1,0,0,177,YouTube,iPhone,67
C00165,Falguni Banik,44,Male,Bhubaneswar,Married,Salaried,Sales Executive,147589,77700,19629,3829127,Rented,Bachelor,1,730,48,15,3,64,Google Ads,Web,35
C00166,Pavani Kulkarni,51,Female,Bhubaneswar,Married,Self-employed,Contractor,31111,15626,8431,195916,Rented,Bachelor,4,692,50,6,2,121,Facebook,Android,72
C00167,Samar Lad,30,Male,Kolkata,Married,Salaried,Software Engineer,120501,70833,37520,3866417,Family Owned,Diploma,4,758,96,0,4,177,Facebook,Web,87
C00168,Vasatika Wali,46,Male,Darbhanga,Married,Salaried,Bank Officer,64155,48744,6253,890961,Family Owned,Diploma,4,693,49,2,4,11,Referral,Web,5
