loan_id,customer_id,loan_purpose,requested_amount,approved_amount,loan_tenure_months,interest_rate,emi,emi_to_income_ratio,application_date,risk_score,underwriting_score,default_probability,risk_category,approved,rejection_reason,loan_to_income_ratio,loan_status,defaulted,name,age,gender,city,marital_status,employment_type,occupation,monthly_income,monthly_expense,existing_emi,savings_balance,home_ownership,education_level,dependents,credit_score,account_age_months,job_tenure_years,previous_loans,monthly_transactions,acquisition_channel,device_type,digital_activity_score,avg_days_late,max_days_late,delinquency_count,partial_payment_count,missed_payment_count,avg_net_cash_flow,avg_balance_volatility,avg_cash_flow_consistency,spending_shock_count,overdraft_count
LN863160,C00025,Medical,938547,725190,12,13.85,65061.55,0.44,2026-02-02,55,45,0.35,High,0,Insufficient Repayment Capacity,0.41,Rejected,0,Damini Srinivasan,25,Male,Patna,Single,Student,Student,9196,9042,1249,20280,Rented,Bachelor,1,588,22,0,0,171,Referral,Android,50,12.5,83,2,4,1.0,32105.166666666668,0.3408333333333333,79.83333333333333,2,2
LN259318,C00026,Home Renovation,1410047,1146142,48,6.63,27249.48,0.63,2025-08-06,33,67,0.218,Medium,0,Insufficient Repayment Capacity,2.21,Rejected,0,Wakeeta Tella,23,Female,Srinagar,Single,Student,Student,15619,14445,4732,16667,Family Owned,Diploma,1,567,4,0,0,193,Referral,Web,61,4.260869565217392,42,1,1,1.0,17332.833333333332,0.16083333333333333,81.33333333333333,0,0
LN908795,C00027,Education,213915,198752,36,8.75,6297.16,0.34,2025-12-04,63,37,0.398,High,1,0,0.9,Closed,0,Osha Madan,59,Male,Chapra,Married,Salaried,Accountant,144889,109951,42083,4237919,Family Owned,PhD,2,739,68,4,5,45,Referral,Web,16,18.105263157894736,75,5,4,5.0,-2671.25,0.6858333333333334,75.0,3,8
LN963886,C00028,Medical,362015,330093,36,13.9,11265.77,0.17,2025-08-31,16,84,0.116,Low,1,0,0.41,Closed,0,Madhav Rai,43,Male,Meerut,Married,Salaried,Doctor,65307,33927,22552,452511,Rented,PhD,2,718,77,16,2,181,Referral,iPhone,50,2.411764705882353,5,0,0,0.0,30524.5,0.30833333333333335,85.08333333333333,0,0
LN266813,C00029,Vehicle,1270167,1178714,36,8.37,37138.14,0.37,2024-10-08,30,70,0.2,Medium,1,0,0.97,Active,0,Indrajit Sandhu,21,Male,Bangalore,Single,Unemployed,Unemployed,9687,6806,0,14912,Owned,Diploma,1,484,24,0,2,56,Google Ads,iPhone,15,3.210526315789474,18,1,2,0.0,59293.333333333336,0.375,88.08333333333333,0,0
LN752700,C00030,Personal,150961,140116,36,17.14,5005.29,0.56,2024-12-18,88,12,0.548,High,0,High Risk,1.32,Rejected,0,Fiyaz Khalsa,36,Male,Ranchi,Married,Self-employed,Business Owner,245386,137987,94837,6286488,Rented,Bachelor,2,678,85,2,2,172,Referral,Web,86,10.692307692307692,66,2,2,2.0,-1160.1666666666667,0.6091666666666667,47.416666666666664,1,6
LN272085,C00031,Personal,66652,64866,36,17.3,2322.35,0.2,2026-03-20,93,7,0.578,High,0,High Risk,0.47,Rejected,0,Megha Rai,58,Male,Patna,Married,Unemployed,Unemployed,10145,8799,0,19151,Family Owned,Diploma,4,457,116,0,4,317,Google Ads,Web,84,12.5,72,4,5,2.0,-301.6666666666667,0.6166666666666667,43.583333333333336,1,5
LN370545,C00032,Home Renovation,9555527,8818458,48,11.15,228560.57,1.11,2026-05-31,60,40,0.38,High,0,Insufficient Repayment Capacity,3.58,Rejected,0,Aayush Parmer,39,Male,Surat,Married,Salaried,Government Employee,128418,54883,41999,4285462,Rented,Bachelor,4,745,89,13,1,197,YouTube,Web,75,6.333333333333333,19,2,3,0.0,35987.0,0.3475,85.58333333333333,2,3
LN138943,C00033,Home Renovation,2793670,2562804,48,9.24,64067.94,0.5,2024-12-18,37,63,0.242,Medium,1,0,1.68,Closed,0,Indrajit Bhatti,31,Male,Bhubaneswar,Divorced,Salaried,Accountant,80427,57326,26582,1226186,Family Owned,High School,1,706,45,1,3,87,Instagram,Web,45,7.368421052631579,85,2,1,1.0,34355.0,0.36000000000000004,92.75,1,0
LN505430,C00034,Vehicle,2544889,2204104,48,9.46,55331.91,0.59,2026-05-01,48,52,0.308,Medium,0,Insufficient Repayment Capacity,1.95,Rejected,0,Harshil Sane,46,Female,Ahmedabad,Married,Salaried,Government Employee,38857,23029,7680,168056,Family Owned,High School,2,700,46,18,1,140,Facebook,iPhone,74,4.708333333333333,48,1,1,1.0,51633.666666666664,0.3516666666666666,90.0,1,0
LN549133,C00035,Personal,1457463,1089669,36,18.87,39871.34,0.44,2025-02-27,32,68,0.212,Medium,1,0,1.01,Defaulted,1,Girish Krishnamurthy,22,Male,Srinagar,Married,Student,Student,28662,15531,7992,34394,Rented,Bachelor,1,627,35,0,2,68,Google Ads,Android,20,25.043478260869566,88,8,3,8.0,39503.083333333336,0.35083333333333333,56.083333333333336,0,0
LN684008,C00036,Vehicle,1442944,1217255,36,11.16,39943.66,0.48,2025-12-09,32,68,0.212,Medium,1,0,1.23,Closed,0,Nathan Palla,65,Male,Jamshedpur,Married,Self-employed,Business Owner,220145,174425,30926,4097662,Rented,PhD,2,654,52,3,0,22,YouTube,Web,9,9.666666666666666,87,3,2,2.0,25412.833333333332,0.3591666666666667,95.83333333333333,0,0
LN415473,C00037,Personal,4868334,3886529,36,14.49,133759.17,1.06,2024-10-03,58,42,0.368,High,0,Insufficient Repayment Capacity,2.57,Rejected,0,Abhimanyu Vyas,53,Female,Mumbai,Married,Salaried,Sales Executive,69743,53010,2026,1186088,Rented,Master,3,732,47,21,0,176,Instagram,Android,69,19.9,80,8,4,7.0,40349.5,0.295,85.91666666666667,1,1
LN706378,C00038,Medical,3801684,2811381,36,12.47,94010.44,0.98,2024-09-18,48,52,0.308,Medium,0,Insufficient Repayment Capacity,2.44,Rejected,0,Yutika Rai,59,Male,Pune,Married,Salaried,Bank Officer,131494,73201,17331,2660318,Family Owned,Diploma,2,763,84,14,1,211,Referral,iPhone,53,13.125,85,2,1,2.0,44670.5,0.1475,74.91666666666667,0,0
LN296082,C00039,Business,1589628,1247846,48,12.7,33291.08,0.37,2024-10-04,50,50,0.32,High,1,0,1.16,Defaulted,1,Bhavini Sarkar,20,Female,Srinagar,Single,Unemployed,Unemployed,13464,9517,0,15511,Rented,Diploma,0,470,1,0,0,17,Referral,Android,11,12.789473684210526,75,5,7,3.0,35294.916666666664,0.36166666666666664,78.0,0,0
LN118895,C00040,Personal,629153,621940,24,15.01,30158.74,0.74,2025-02-23,40,60,0.26,Medium,0,Insufficient Repayment Capacity,1.28,Rejected,0,Anthony Deshpande,38,Male,Srinagar,Single,Salaried,Government Employee,46135,24392,15762,490814,Owned,High School,0,712,60,13,4,149,YouTube,Web,38,10.416666666666666,84,1,2,1.0,22583.416666666668,0.32666666666666666,76.41666666666667,0,0
LN766425,C00041,Vehicle,1729262,1490858,48,9.04,37128.39,0.51,2025-11-16,17,83,0.122,Low,1,0,1.72,Active,0,Charvi Din,32,Male,Delhi,Single,Salaried,Doctor,125002,97697,18826,4272284,Owned,Diploma,1,707,54,4,1,42,YouTube,Android,20,2.6363636363636362,5,0,0,0.0,34362.333333333336,0.3541666666666667,88.91666666666667,2,1
LN946907,C00042,Personal,3606959,3068425,12,12.87,273876.25,1.61,2026-02-01,55,45,0.35,High,0,Insufficient Repayment Capacity,1.51,Rejected,0,Kalpit Nair,19,Female,Bhopal,Single,Student,Student,24722,14605,6027,75252,Owned,Bachelor,1,600,8,0,0,226,Referral,Android,69,5.166666666666667,17,1,2,0.0,89724.91666666667,0.3441666666666667,66.16666666666667,0,0
LN827206,C00043,Education,234555,188266,60,12.37,4223.16,0.17,2025-04-09,80,20,0.5,High,1,0,0.62,Defaulted,1,Alka Chacko,40,Male,Bangalore,Married,Salaried,Accountant,45166,33732,11565,470902,Rented,High School,4,665,23,9,1,281,YouTube,iPhone,81,14.947368421052632,69,7,7,3.0,-10429.416666666666,0.5958333333333333,57.666666666666664,4,10
LN984995,C00044,Personal,59909,44311,24,23.29,2327.1,0.17,2024-09-20,100,0,0.62,High,0,High Risk,0.28,Rejected,0,Simon Sridhar,32,Male,Pune,Married,Salaried,Software Engineer,141001,84558,39642,1054992,Owned,High School,1,730,88,9,7,106,YouTube,Web,60,8.7,73,3,6,1.0,-4036.8333333333335,0.6266666666666666,33.75,1,11
LN518971,C00045,Business,2133081,2060369,48,11.04,53291.35,0.59,2025-05-29,73,27,0.458,High,0,Insufficient Repayment Capacity,1.91,Rejected,0,Urishilla Arya,38,Female,Chennai,Divorced,Salaried,Software Engineer,94574,45638,14830,1446412,Rented,Bachelor,2,711,81,15,1,203,Facebook,Web,59,6.75,53,1,0,1.0,7418.583333333333,0.7050000000000001,82.75,1,2
LN131944,C00046,Home Renovation,3932038,3193557,48,8.7,79017.66,0.56,2024-07-25,55,45,0.35,High,1,0,1.9,Closed,0,Kritika Dhar,46,Male,Kolkata,Divorced,Self-employed,Business Owner,126615,63126,45807,3090209,Family Owned,Diploma,1,695,80,23,3,201,Facebook,iPhone,77,14.75,71,4,2,4.0,16376.666666666666,0.3766666666666667,76.25,2,2
LN694316,C00047,Business,2987888,2297396,48,13.24,61907.39,0.72,2025-03-30,63,37,0.398,High,0,Insufficient Repayment Capacity,2.22,Rejected,0,Pahal Dalal,46,Male,Pune,Divorced,Salaried,Teacher,111479,84892,20615,975057,Family Owned,PhD,1,725,56,18,1,44,Instagram,Android,17,21.333333333333332,89,7,4,6.0,33293.5,0.365,93.75,0,0
LN264997,C00048,Vehicle,407019,399381,36,8.96,12692.78,0.25,2025-06-01,42,58,0.272,Medium,1,0,0.66,Active,0,Timothy Solanki,43,Female,Kolkata,Married,Salaried,Sales Executive,141751,73441,9294,2104131,Owned,Bachelor,4,715,35,9,1,130,YouTube,Web,66,4.0,16,1,2,0.0,27478.416666666668,0.335,80.25,1,0
LN600120,C00049,Medical,505896,481546,12,12.44,42883.96,1.47,2024-08-11,83,17,0.518,High,0,High Risk,1.38,Rejected,0,Leela Krishnamurthy,33,Female,Chapra,Single,Salaried,Doctor,32021,16642,8604,506592,Family Owned,Diploma,0,751,51,5,0,102,Instagram,Android,57,12.5,61,2,2,2.0,-2857.6666666666665,0.5883333333333334,56.666666666666664,2,6
LN262816,C00050,Medical,68020,58019,36,11.76,1920.42,0.07,2025-05-18,58,42,0.368,High,1,0,0.18,Closed,0,Januja Tak,24,Male,Bhubaneswar,Single,Salaried,Accountant,50173,21348,4641,381864,Family Owned,Diploma,1,724,47,2,3,6,Referral,iPhone,2,22.307692307692307,73,5,2,5.0,1067.5833333333333,0.7174999999999999,57.666666666666664,2,5
LN635128,C00051,Education,291451,222343,48,12.0,5855.14,0.2,2024-09-17,46,54,0.296,Medium,1,0,0.63,Closed,0,Wahab Yohannan,45,Female,Delhi,Married,Salaried,Government Employee,130845,92886,31784,3134585,Rented,Diploma,4,735,62,15,4,130,Instagram,Web,42,6.5,69,1,2,1.0,6776.666666666667,0.7266666666666667,39.5,1,1
LN636481,C00052,Medical,1535360,1496833,12,10.01,131602.36,2.11,2025-12-28,43,57,0.278,Medium,0,Insufficient Repayment Capacity,2.0,Rejected,0,Lajita Jaggi,65,Male,Ahmedabad,Divorced,Self-employed,Shop Owner,44625,28417,2166,720438,Family Owned,Bachelor,2,693,89,17,2,248,Instagram,iPhone,75,10.166666666666666,86,1,1,1.0,26903.333333333332,0.16166666666666665,96.41666666666667,0,0
LN648688,C00053,Home Renovation,168143,129530,48,10.06,3288.95,0.1,2024-07-18,23,77,0.158,Low,1,0,0.32,Closed,0,Ojas Bava,54,Female,Jamshedpur,Married,Salaried,Government Employee,126151,61093,16352,1700265,Rented,PhD,3,768,111,5,6,258,Instagram,Android,87,2.3846153846153846,4,0,0,0.0,15797.916666666666,0.315,97.66666666666667,0,0
LN712043,C00054,Business,3253969,2586344,36,11.23,84955.57,0.64,2026-02-23,50,50,0.32,High,0,Insufficient Repayment Capacity,1.63,Rejected,0,Ethan Buch,53,Male,Bhopal,Married,Salaried,Government Employee,126989,56461,9644,4416438,Rented,PhD,1,751,7,22,0,151,Referral,iPhone,54,12.666666666666666,63,3,0,3.0,24179.75,0.3325,85.25,1,1
LN888020,C00055,Medical,1443561,1249697,24,16.51,61494.02,0.81,2025-05-20,70,30,0.44,High,0,Insufficient Repayment Capacity,1.38,Rejected,0,Xalak Sur,31,Female,Mumbai,Single,Unemployed,Unemployed,3528,2394,0,927,Owned,Bachelor,0,513,89,0,2,160,Instagram,Web,83,10.352941176470589,59,4,4,2.0,613.1666666666666,0.6,45.25,3,5
LN343249,C00056,Medical,51055,37473,36,16.59,1328.38,0.15,2026-06-01,58,42,0.368,High,1,0,0.34,Active,0,Praneel Hayre,36,Female,Ballia,Married,Salaried,Accountant,98092,69630,16404,346585,Rented,Diploma,3,680,12,12,1,32,Referral,iPhone,9,8.083333333333334,79,2,8,1.0,-2243.5833333333335,0.6741666666666667,42.416666666666664,4,7
LN691348,C00057,Medical,936710,669623,36,12.47,22391.68,0.44,2025-05-22,13,87,0.098,Low,1,0,1.09,Closed,0,Isaiah Sule,58,Male,Nagpur,Married,Salaried,Doctor,68312,31785,16564,653980,Owned,High School,4,744,16,26,1,255,Referral,Web,94,3.0,5,0,1,0.0,12427.5,0.32166666666666666,66.66666666666667,1,1
LN257454,C00058,Home Renovation,2308321,2196537,60,9.85,46507.97,0.67,2025-12-18,43,57,0.278,Medium,1,0,2.63,Defaulted,1,Yashoda Ghose,20,Male,Patna,Single,Student,Student,28279,24468,11111,142434,Owned,High School,1,586,20,0,1,156,Instagram,Web,91,16.238095238095237,54,7,5,6.0,33099.583333333336,0.36166666666666664,99.41666666666667,0,0
LN501203,C00059,Business,378297,369069,60,10.64,7958.35,0.08,2026-05-06,0,100,0.02,Low,1,0,0.33,Active,0,Girindra Solanki,57,Female,Bhopal,Married,Salaried,Software Engineer,133188,83641,22274,4425956,Rented,High School,4,737,65,17,0,110,Facebook,iPhone,38,2.857142857142857,7,0,1,0.0,51060.583333333336,0.11750000000000001,87.41666666666667,1,0
LN244134,C00060,Business,4869392,4311647,60,13.55,99321.43,0.91,2026-01-20,58,42,0.368,High,0,Insufficient Repayment Capacity,3.3,Rejected,0,Fiyaz Rama,48,Female,Indore,Single,Self-employed,Freelancer,230827,151592,81621,5958064,Owned,Diploma,0,716,72,25,6,55,Facebook,iPhone,18,12.842105263157896,81,3,3,3.0,64424.5,0.12166666666666666,79.33333333333333,0,0
LN592149,C00061,Business,4211550,3991389,48,10.1,101423.73,1.1,2025-05-11,48,52,0.308,Medium,0,Insufficient Repayment Capacity,3.6,Rejected,0,Amruta Bal,39,Female,Chennai,Married,Salaried,Bank Officer,142986,73649,5790,3784550,Rented,Master,4,763,97,0,4,66,Google Ads,iPhone,30,8.9375,61,3,4,1.0,42669.833333333336,0.1575,97.41666666666667,0,0
LN271304,C00062,Vehicle,765007,660860,36,9.69,21228.04,0.24,2026-01-09,8,92,0.068,Low,1,0,0.63,Active,0,Oscar Ahluwalia,50,Male,Bangalore,Divorced,Salaried,Government Employee,104923,80663,40347,2827653,Family Owned,Master,2,735,112,6,6,295,Facebook,iPhone,97,2.25,5,0,0,0.0,49772.083333333336,0.305,88.08333333333333,0,0
LN141346,C00063,Vehicle,1655422,1315183,48,11.37,34228.39,0.44,2024-09-27,30,70,0.2,Medium,1,0,1.42,Active,0,Libni Chakrabarti,51,Female,Delhi,Married,Self-employed,Freelancer,174838,135073,50960,5978973,Rented,PhD,3,667,99,22,0,95,Referral,Android,38,5.555555555555555,48,2,2,1.0,33885.833333333336,0.33166666666666667,91.58333333333333,0,0
LN520490,C00064,Personal,89608,85515,24,17.99,4268.85,0.34,2025-06-01,53,47,0.338,High,1,0,0.56,Active,0,Michael Wali,38,Male,Bhubaneswar,Married,Salaried,Government Employee,41771,17721,2885,624034,Rented,PhD,3,752,75,2,6,116,Referral,Web,40,14.785714285714286,89,3,3,2.0,1875.8333333333333,0.6441666666666667,61.416666666666664,2,1
LN284679,C00065,Personal,1553807,1100119,36,17.02,39233.19,0.49,2026-03-26,73,27,0.458,High,0,Insufficient Repayment Capacity,1.15,Rejected,0,Aarini Viswanathan,39,Male,Bhopal,Married,Self-employed,Business Owner,173323,132032,52880,4030437,Rented,Master,2,654,55,9,1,90,YouTube,Web,32,11.5625,57,4,2,3.0,19161.583333333332,0.35916666666666663,71.91666666666667,0,1
LN227803,C00066,Education,284667,215620,36,12.57,7220.51,0.32,2026-01-01,68,32,0.428,High,1,0,0.79,Closed,0,Aishani Lal,18,Male,Darbhanga,Single,Student,Student,8143,7954,2450,26311,Rented,Diploma,1,553,1,0,0,84,Referral,iPhone,27,6.384615384615385,40,1,3,1.0,-986.5,0.6616666666666667,45.0,0,6
LN809550,C00067,Personal,1424940,1006378,12,17.42,91987.17,0.39,2025-05-01,47,53,0.302,Medium,1,0,0.35,Defaulted,1,Balveer Gaba,34,Male,Bhopal,Single,Salaried,Software Engineer,30330,19519,2070,398357,Family Owned,Master,0,694,107,10,4,271,Referral,iPhone,71,23.333333333333332,70,5,1,5.0,65154.166666666664,0.3475,54.0,0,0
LN253954,C00068,Vehicle,3814336,2704352,36,9.21,86262.23,0.69,2024-07-03,38,62,0.248,Medium,0,Insufficient Repayment Capacity,1.79,Rejected,0,Arin Hayer,24,Male,Delhi,Single,Student,Student,29775,21145,9960,33213,Rented,High School,0,598,24,0,1,63,Facebook,iPhone,37,3.125,8,0,2,0.0,59665.25,0.3416666666666666,98.91666666666667,0,0
LN202175,C00069,Business,1789164,1306777,48,10.26,33306.65,0.19,2025-07-18,42,58,0.272,Medium,1,0,0.61,Active,0,Frederick Johal,57,Female,Kolkata,Married,Self-employed,Consultant,44726,18145,1345,509730,Rented,Diploma,2,683,43,26,1,176,Facebook,Android,89,8.478260869565217,60,3,3,2.0,99550.0,0.3516666666666666,60.083333333333336,0,0
